Fecha;PIB;DESEMPLEO;INFLACION
31/12/2010;4,49;;3,17
31/12/2011;6,95;11,06833333;3,73
31/12/2012;3,91;10,62833333;2,44
31/12/2013;5,13;9,909166667;1,94
31/12/2014;4,5;9,408333333;3,66
31/12/2015;2,96;9,1975;6,77
31/12/2016;2,09;9,545;5,75
31/12/2017;1,36;9,675833333;4,09
31/12/2018;2,56;9,966666667;3,18
31/12/2019;3,28;10,8875;3,8
31/12/2020;-7,19;16,6675;1,61
31/12/2021;10,8;13,81083333;5,62
31/12/2022;7,33;11,21833333;13,12
31/12/2023;0,71;10,16416667;9,28
31/12/2024;1,6;10,16583333;5,2
